shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0553634,-79.4450981,364,1717.68
SA_R1,9.0553867,-79.4451111,365,1720.64
SA_R1,9.0554106,-79.4451178,366,1723.4
SA_R1,9.0554359,-79.445128,367,1726.42
SA_R1,9.0554679,-79.4451475,368,1730.58
SA_R1,9.0555128,-79.4451676,369,1736.03
SA_R1,9.055564,-79.4451942,370,1742.43
SA_R1,9.0556265,-79.4452272,371,1750.28
SA_R1,9.0556942,-79.445256,372,1758.43
SA_R1,9.0557631,-79.4452914,373,1767.03
SA_R1,9.0558346,-79.4453235,374,1775.72
SA_R1,9.0559015,-79.4453519,375,1783.79
SA_R1,9.0559529,-79.4453747,376,1790.03
SA_R1,9.0559946,-79.4453975,377,1795.3
SA_R1,9.0560267,-79.445409,378,1799.08
SA_R1,9.0560561,-79.4454189,379,1802.53
SA_R1,9.0560798,-79.4454322,380,1805.54
SA_R1,9.0560972,-79.4454447,381,1807.91
SA_R1,9.0561045,-79.4454514,382,1809.01
SA_R1,9.0561101,-79.445448,383,1809.74
SA_R1,9.0561147,-79.4454477,384,1810.24
SA_R1,9.0561142,-79.4454408,385,1811.0
SA_R1,9.0561102,-79.4454401,386,1811.45
SA_R1,9.0561162,-79.4454394,387,1812.12
SA_R1,9.0561256,-79.4454364,388,1813.21
SA_R1,9.0561357,-79.4454284,389,1814.64
SA_R1,9.0561469,-79.4454169,390,1816.41
SA_R1,9.0561636,-79.4453947,391,1819.48
SA_R1,9.056176,-79.4453639,392,1823.12
SA_R1,9.0562018,-79.4453204,393,1828.71
SA_R1,9.0562311,-79.4452814,394,1834.09
SA_R1,9.0562607,-79.4452268,395,1840.92
SA_R1,9.0562913,-79.4451629,396,1848.72
SA_R1,9.0563223,-79.4450901,397,1857.42
SA_R1,9.056358,-79.4450182,398,1866.26
SA_R1,9.0563912,-79.444957,399,1873.93
SA_R1,9.0564162,-79.444908,400,1879.99
SA_R1,9.0564356,-79.4448679,401,1884.89
SA_R1,9.056456,-79.4448305,402,1889.58
SA_R1,9.0564761,-79.4447953,403,1894.05
SA_R1,9.0564943,-79.4447611,404,1898.31
SA_R1,9.0565136,-79.4447281,405,1902.52
SA_R1,9.0565313,-79.4446908,406,1907.07
SA_R1,9.0565557,-79.444643,407,1912.98
SA_R1,9.0565826,-79.4445949,408,1919.05
SA_R1,9.0566163,-79.4445451,409,1925.68
SA_R1,9.0566531,-79.4444863,410,1933.32
SA_R1,9.0566852,-79.4444171,411,1941.71
SA_R1,9.0567198,-79.4443497,412,1950.06
SA_R1,9.0567533,-79.4442859,413,1957.99
SA_R1,9.0567854,-79.4442186,414,1966.2
SA_R1,9.0568169,-79.4441471,415,1974.8
SA_R1,9.0568514,-79.4440802,416,1983.08
SA_R1,9.0568835,-79.4440096,417,1991.62
SA_R1,9.0569161,-79.4439531,418,1998.8
SA_R1,9.0569426,-79.4439047,419,2004.88
SA_R1,9.0569682,-79.44387,420,2009.63
SA_R1,9.0569823,-79.4438448,421,2012.82
SA_R1,9.0569947,-79.4438241,422,2015.48
SA_R1,9.0570041,-79.4438133,423,2017.06
SA_R1,9.0570184,-79.4437916,424,2019.92
SA_R1,9.0570347,-79.4437591,425,2023.93
SA_R1,9.0570628,-79.4437261,426,2028.7
SA_R1,9.0570743,-79.4437022,427,2031.62
SA_R1,9.0570762,-79.4436922,428,2032.75
SA_R1,9.0570817,-79.4436879,429,2033.51
SA_R1,9.0570815,-79.4436869,430,2033.63
